"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"usually represented in binary for compactness and efficiency.","0","0","0","1","0","8","0","1","3","0","paragraph"
"A PDF file containing binary data shall be transported as a binary file rather than as a text file to insure that","0","0","0","1","3","22","0","4","4","0","paragraph"
"all bytes of the file are faithfully preserved.","0","0","0","1","0","8","0","1","2","0","paragraph"
"NOTE 1 A binary file is not portable to environments that impose reserved character codes, maximum line lengths, end-","0","0","0","1","3","19","0","2","5","0","paragraph"
"of-line conventions, or other restrictions","0","0","0","1","0","5","0","0","2","0","paragraph"
"NOTE 2 In this clause, the usage of the term character is entirely independent of any logical meaning that the value","0","0","0","1","3","21","0","0","5","0","paragraph"
"may have when it is treated as data in specific contexts, such as representing human-readable text or","0","0","0","1","0","17","0","3","4","0","paragraph"
"selecting a glyph from a font.","0","0","0","1","0","6","0","1","2","0","paragraph"
"7.2.2 Character Set","1","0","0","1","2","3","0","0","1","0","heading"
"The PDF character set is divided into three classes, called regular, delimiter, and white-space characters. This","0","0","0","0","3","16","0","2","2","1","paragraph"
"classification determines the grouping of characters into tokens. The rules defined in this sub-clause apply to","0","0","0","1","3","16","0","3","6","0","paragraph"
"all characters in the file except within strings, streams, and comments.","0","0","0","1","0","11","0","0","5","0","paragraph"
"The White-space characters shown in Table 1 separate syntactic constructs such as names and numbers from","0","0","0","0","3","16","0","1","5","1","paragraph"
"each other. All white-space characters are equivalent, except in comments, strings, and streams. In all other","0","0","0","1","3","16","0","0","4","0","paragraph"
"contexts, PDF treats any sequence of consecutive white-space characters as one character.","0","0","0","1","3","12","0","1","5","1","paragraph"
"Table 1 – White-space characters","1","0","0","1","3","5","0","0","2","1","heading"
"The CARRIAGE RETURN (0Dh) and LINE FEED (0Ah) characters, also called newline characters, shall be","0","0","0","0","3","15","0","2","5","0","paragraph"
"treated as end-of-line (EOL) markers. The combination of a CARRIAGE RETURN followed immediately by a","0","0","0","0","3","15","0","2","3","0","paragraph"
"LINE FEED shall be treated as one EOL marker. EOL markers may be treated the same as any other white-","0","0","0","1","3","20","0","4","3","1","paragraph"
"space characters. However, sometimes an EOL marker is required or recommended—that is, preceding a","0","0","0","1","3","14","0","3","2","0","paragraph"
"token that must appear at the beginning of a line.","0","0","0","1","0","10","0","3","2","0","paragraph"
"NOTE The examples in this standard use a convention that arranges tokens into lines. However, the examples’ use of","0","0","0","1","3","19","0","1","6","0","paragraph"
"white space for indentation is purely for clarity of exposition and need not be included in practical use.","0","0","0","1","0","18","0","2","5","0","paragraph"
"12","0","0","0","1","2","1","1","0","0","1","paragraph"
"© Adobe Systems Incorporated 2008 – All rights reserved","0","1","0","0","3","9","0","2","1","0","paragraph"
"The delimiter characters (, ), <, >, [, ], {, }, /, and % are special","0","0","0","0","3","16","0","0","3","0","paragraph"
"PDF 32000-1:2008","1","1","0","1","1","2","0","0","2","0","paragraph"
"(LEFT PARENTHESIS (28h), RIGHT","0","0","0","1","3","4","0","0","1","0","paragraph"
"PARENTHESIS (29h), LESS-THAN SIGN (3Ch), GREATER-THAN SIGN (3Eh), LEFT SQUARE BRACKET","0","0","0","1","2","11","0","0","6","0","paragraph"
"(5Bh), RIGHT SQUARE BRACKET (5Dh), LEFT CURLY BRACE (7Bh), RIGHT CURLY BRACE (07Dh),","0","0","0","1","2","13","0","0","2","0","paragraph"
"SOLIDUS (2Fh) and PERCENT SIGN (25h), respectively). They delimit syntactic entities such as arrays,","0","0","0","1","3","14","0","1","6","0","paragraph"
"names, and comments. Any of these characters terminates the entity preceding it and is not included in the","0","0","0","1","3","18","0","3","5","0","paragraph"
"entity. Delimiter characters are allowed within the scope of a string when following the rules for composing","0","0","0","1","3","17","0","3","5","0","paragraph"
"strings; see 7.3.4.2, “Literal Strings”. The leading ( of a string does delimit a preceding entity and the closing ) of","0","0","0","1","3","21","0","4","5","0","paragraph"
"a string delimits the string’s end.","0","0","0","1","0","6","0","1","2","0","paragraph"
"Table 2 – Delimiter characters","1","0","0","1","3","5","0","0","2","1","heading"
"All characters except the white-space characters and delimiters are referred to as regular characters. These","0","0","0","0","3","15","0","1","4","0","paragraph"
"characters include bytes that are outside the ASCII character set. A sequence of consecutive regular","0","0","0","1","3","15","0","1","4","0","paragraph"
"characters comprises a single token. PDF is case-sensitive; corresponding uppercase and lowercase letters","0","0","0","1","3","13","0","3","5","0","paragraph"
"shall be considered distinct.","0","0","0","1","0","4","0","2","0","0","paragraph"
"7.2.3 Comments","1","0","0","1","2","2","0","0","1","1","heading"
"Any occurrence of the PERCENT SIGN (25h) outside a string or stream introduces a comment. The comment","0","0","0","0","3","17","0","0","7","0","paragraph"
"consists of all characters after the PERCENT SIGN and up to but not including the end of the line, including","0","0","0","1","3","20","0","3","4","0","paragraph"
"regular, delimiter, SPACE (20h), and HORZONTAL TAB characters (09h). A conforming reader shall ignore","0","0","0","1","3","14","0","3","3","0","paragraph"
"comments, and treat them as single white-space characters. That is, a comment separates the token preceding","0","0","0","1","3","16","0","3","5","0","paragraph"
"it from the one following it.","0","0","0","1","0","6","0","1","3","0","paragraph"
"EXAMPLE The PDF fragment in this example is syntactically equivalent to just the tokens abc and 123.","0","0","0","1","3","17","0","0","5","1","paragraph"
"abc% comment ( /% ) blah blah blah","0","0","0","1","0","8","0","0","2","0","paragraph"
"123","0","0","0","1","2","1","1","0","0","1","paragraph"
"Comments (other than the %PDF–n.m and %%EOF comments described in 7.5, ""File Structure"") have no","0","0","0","1","3","15","0","1","5","1","paragraph"
"semantics. They are not necessarily preserved by applications that edit PDF files.","0","0","0","1","3","12","0","2","4","0","paragraph"
"7.3 Objects","1","1","0","1","2","2","0","0","1","1","heading"
"7.3.1 General","1","0","0","1","2","2","0","0","1","0","heading"
"PDF includes eight basic types of objects: Boolean values, Integer and Real numbers, Strings, Names, Arrays,","0","0","0","1","3","16","0","1","9","1","paragraph"
"Dictionaries, Streams, and the null object.","0","0","0","1","3","6","0","0","3","0","paragraph"
"© Adobe Systems Incorporated 2008 – All rights reserved","0","1","0","0","3","9","0","2","1","0","paragraph"
"13","0","0","0","1","2","1","1","0","0","1","paragraph"
