"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"official name of Francis. Bergoglio is the first pope ever to choose the name Francis. Therefore, the term","0","0","0","1","3","18","0","1","7","0","paragraph"
"""Pope Francis"" is relatively unique and came into the public lexicon during our search period. Since","0","0","0","1","3","16","0","1","3","0","paragraph"
"Christianity is currently the most popular religion on Earth, Roman Catholics comprise the largest sect of","0","0","0","1","3","16","0","1","5","0","paragraph"
"Christianity [20], and papal histories are well recorded, it seems reasonable to assume that ""Pope Francis""","0","0","0","1","3","16","0","2","3","1","paragraph"
"would remain memorable well into the future. Before 2013 March, however, there is little reason for","0","0","0","1","3","16","0","2","3","0","paragraph"
"anyone without prescient information to mention a ""Pope Francis"". Discussions or even mentions on the","0","0","0","1","3","15","0","1","5","0","paragraph"
"Internet of Pope Francis before 2013 March were therefore searched for as potentially prescient evidence","0","0","0","1","3","15","0","1","4","0","paragraph"
"of time travelers from the future.","0","0","0","1","0","6","0","0","2","0","paragraph"
"A relatively efficient method for locating specific content on the voluminous Internet is through","0","0","0","1","3","14","0","1","3","0","paragraph"
"hashtags. Hashtagging -- labeling Internet content with terms beginning with a ""#"" -- originated on the","0","0","0","1","3","16","0","3","5","0","paragraph"
"Internet in the Internet Relay Chat (IRC) channels, which itself began in 1988 [21]. Hashtagging became","0","0","0","1","3","16","0","2","5","1","paragraph"
"prevalent on Twitter in 2007 as a means of signaling that information about given topics is available [22].","0","0","0","1","3","18","0","3","4","1","paragraph"
"In the past few years, hashtagging has become increasingly prevalent beyond Twitter and across the","0","0","0","1","3","15","0","1","3","0","paragraph"
"Internet, being used frequently on Facebook, Google Plus, blogs, and general Internet content. In essence,","0","0","0","1","3","15","0","1","5","0","paragraph"
"hashtags make information easier to find in online searches. We therefore typically included the","0","0","0","1","3","14","0","3","4","0","paragraph"
"hashtagged terms ""#cometison"" and ""#popefrancis"" in our searches. For example, when someone places","0","0","0","1","3","13","0","2","5","0","paragraph"
"content involving Comet ISON on the Internet, they might include the hashtag ""#cometison"". Since that","0","0","0","1","3","15","0","3","5","0","paragraph"
"hashtagged term would not occur in colloquial text, it acts as a label that can be found in a search by","0","0","0","1","0","21","0","6","5","0","paragraph"
"people seeking information about Comet ISON. Conversely, labeling and searching for the hashtagged","0","0","0","1","3","13","0","3","3","0","paragraph"
"term ""#comet"" or ""#ISON"" might not return information about only Comet ISON, but typically","0","0","0","1","3","14","0","2","4","0","paragraph"
"voluminous content involving other comets or other instances of the term ""ison"", a word that means","0","0","0","1","0","16","0","2","5","0","paragraph"
"""great"" in Finnish.","0","0","0","1","3","3","0","0","1","0","paragraph"
"A direct way to search for information posted on the web is to use a commonly popular search engine.","0","0","0","1","3","19","0","3","4","0","paragraph"
"At the time of this writing, the most popular search engine is Google. Unfortunately, searching for","0","0","0","1","3","16","0","1","4","0","paragraph"
"prescient web content using the publicly available Google search has proven unreliable. Although","0","0","0","1","3","13","0","2","2","0","paragraph"
"providing the ability to sort identified content by date, several exploratory tests on Google found an","0","0","0","1","3","16","0","3","5","0","paragraph"
"initially surprising number of web pages that contained seemingly prescient information. Upon further","0","0","0","1","3","13","0","1","3","0","paragraph"
"inspection, however, all potentially-prescient content on those web pages was clearly non-prescient. One","0","0","0","1","3","13","0","0","3","1","paragraph"
"prominent reason for this was the appearance of recent advertisements on older news stories. Bing","0","0","0","1","3","15","0","0","5","0","paragraph"
"(bing.com), another currently popular search engine, did not appear to have a sufficient ability to filter","0","0","0","1","0","16","0","2","2","0","paragraph"
"results by posting date to be useful.","0","0","0","1","0","7","0","1","2","0","paragraph"
"Another place potentially prescient content might be found is on posts to the social network Facebook.","0","0","0","1","3","16","0","2","3","0","paragraph"
"At the time of this writing, Facebook is the most popular social network [23]. Facebook pages incorporate","0","0","0","1","3","17","0","1","5","1","paragraph"
"their own search engine. Unfortunately, searches on Facebook turned up results that were clearly not","0","0","0","1","3","15","0","1","4","0","paragraph"
"comprehensive. Searches for prescient posts on Facebook frequently culminated in an unexpectedly short","0","0","0","1","3","13","0","1","3","0","paragraph"
"listing, with text at the bottom stating ""There are no more recent posts to show right now."" The word","0","0","0","1","3","19","0","3","4","0","paragraph"
"""recent"" was taken to indicate that the Facebook search did not report older, potentially prescient posts.","0","0","0","1","3","16","0","3","2","0","paragraph"
"Additionally, Facebook also allows backdated posts, as far back as the day the Facebook account was","0","0","0","1","3","16","0","1","4","0","paragraph"
"created. Such backdating undermines the ability of a search to determine whether information posted to","0","0","0","1","3","15","0","4","4","0","paragraph"
"Facebook is prescient. For example, someone who opened a Facebook account in 2006 could have posted","0","0","0","1","3","16","0","3","6","0","paragraph"
"a comment about ""Pope Francis"" in 2013 April and then backdated that post to 2008 April. In a search,","0","0","0","1","3","19","0","1","6","0","paragraph"
"we might discover this post and wrongly consider it prescient knowledge in 2008 that a ""Pope Francis""","0","0","0","1","3","17","0","3","4","0","paragraph"
"would exist in the then-future 2013. However, even given Facebook's limited utility, searches found no","0","0","0","1","3","15","0","4","2","0","paragraph"
"prescient mentions of ""Comet ISON"", ""Pope Francis"", ""#cometison"", or ""#popefrancis"".","0","0","0","1","3","10","0","0","4","0","paragraph"
"Similarly, a preliminary search for prescient content on the social network Google Plus","0","0","0","1","3","13","0","0","4","0","paragraph"
"(plus.google.com) was terminated after it became clear that Google Plus did not always order search","0","0","0","1","3","15","0","3","3","0","paragraph"
"results temporally. It was","0","0","0","1","3","4","0","0","2","0","paragraph"
"informational mentions.","0","0","0","1","0","2","0","0","1","0","paragraph"
"therefore too difficult, in practice, to find older and potentially prescient","0","0","0","1","0","11","0","1","1","0","paragraph"
"Our most comprehensive search for potentially prescient Internet content was achieved using the","0","0","0","1","3","13","0","2","2","0","paragraph"
"microblogging Internet platform Twitter [24]. Twitter enables members to ""tweet"" posts up to 140","0","0","0","1","3","14","0","3","4","1","paragraph"
"characters. Twitter was created in 2006 and has been growing in popularity ever since. As of 2013 May,","0","0","0","1","3","18","0","2","4","1","paragraph"
"over 500 million active registered Twitter accounts produce over 1 billion tweets per month [24]. Even so,","0","0","0","1","3","17","0","2","3","3","paragraph"
"given the limited number of characters per tweet, a search using Twitter's own search engine appeared","0","0","0","1","3","16","0","3","5","0","paragraph"
"quick, comprehensive, had the ability to find tweets back to the very beginning of Twitter, and order the","0","0","0","1","3","18","0","2","4","0","paragraph"
"tweets temporally. Exploratory searches on Twitter indicated the ability to find all tweets that mentioned","0","0","0","1","3","15","0","3","5","0","paragraph"
"any of our preferred search terms. Also, Twitter does not allow backdated tweets. We therefore","0","0","0","1","3","15","0","1","4","0","paragraph"
"considered our search on Twitter to be our most comprehensive search for once-prescient content placed","0","0","0","1","3","15","0","2","4","0","paragraph"
"on the Internet.","0","0","0","1","2","3","0","0","1","0","paragraph"
"No clearly prescient content involving ""Comet ISON"", ""#cometison"", ""Pope Francis"", or","0","0","0","1","3","11","0","1","4","0","paragraph"
"""#popefrancis"" was found from any Twitter tweet -- ever. One candidate was found -- an interesting","0","0","0","1","3","16","0","2","2","1","paragraph"
"speculative discussion using the term ""Pope Francis"" in a blog post advertised by a tweet, but upon close","0","0","0","1","3","18","0","2","5","0","paragraph"
"inspection and consideration, that blog post was deemed overtly speculative and not prescient. Searches","0","0","0","1","3","14","0","1","2","0","paragraph"
"were made both on the embedded Twitter search box and on the Twitter search service Topsy","0","0","0","1","3","16","0","2","2","0","paragraph"
"(topsy.com). Each of these search terms occurred numerous times -- hundreds for Comet ISON and","0","0","0","1","3","15","0","1","2","1","paragraph"
"thousands for Pope Francis -- but, with the one noted exception, only after 2012 September for Comet","0","0","0","1","3","17","0","1","5","1","paragraph"
"ISON and only after 2013 March for Pope Francis.","0","0","0","1","3","9","0","0","3","0","paragraph"
"Note that information once posted to the Internet may be subject to subsequent deletion by the poster,","0","0","0","1","3","17","0","3","4","0","paragraph"
"including content on the web, Facebook, and Twitter. Therefore, in general, information that was","0","0","0","1","3","14","0","1","5","0","paragraph"
"searched for potentially prescient content is that which remained on the Internet in August 2013.","0","0","0","1","3","15","0","2","3","0","paragraph"
"4. Searching for Prescient Search Queries","1","0","0","1","2","6","0","1","1","1","heading"
"Another type of informational trace a time traveler from the future might have left on the modern-day","0","0","0","1","3","17","0","2","5","0","paragraph"
"Internet is a query to a current search engine for not-yet-available information. For example, a time","0","0","0","1","3","16","0","0","5","0","paragraph"
"traveler might have been trying to collect historical information that did not survive into the future, or","0","0","0","1","0","17","0","4","3","0","paragraph"
"might have searched for a prescient term because they erroneously thought that a given event had already","0","0","0","1","0","17","0","4","3","0","paragraph"
"occurred, or searched to see whether a given event was yet to occur. In an effort to uncover such prescient","0","0","0","1","3","20","0","6","3","0","paragraph"
"queries, we searched online databases for potentially prescient search terms themselves.","0","0","0","1","0","11","0","1","4","0","paragraph"
"Fortunately, searches using Google, the most popular search engine of the present time, are","0","0","0","1","3","14","0","1","4","0","paragraph"
"themselves searchable with Google Trends (google.com/trends) [25]. Google Trends was therefore used","0","0","0","1","3","12","0","1","4","1","paragraph"
"for a search for potentially prescient queries involving Comet Ison and Pope Francis. Although numerous","0","0","0","1","3","15","0","1","4","0","paragraph"
"searches were uncovered, none occurred sufficiently early to be considered prescient. Unfortunately","0","0","0","1","3","12","0","3","2","0","paragraph"
"however, we do not consider these negative results reliable. One reason is that the publicly available","0","0","0","1","3","16","0","1","3","1","paragraph"
"Google Trends only reported search results that had a significant ""search volume"" [25]. Therefore, for","0","0","0","1","3","15","0","1","3","1","paragraph"
"example, Google Trends did not report any instances of the term ""#cometison"" being searched for -- ever.","0","0","0","1","3","17","0","2","4","0","paragraph"
"And since we searched for this term ourselves, we know that at least some instances did occur. Next,","0","0","0","1","3","18","0","3","4","0","paragraph"
"Google Trends only reported on the prevalence of searches as normalized to the largest search volume in","0","0","0","1","3","17","0","1","4","0","paragraph"
"the desired time window, and not in absolute terms. Therefore, for example, search reports on ""Comet","0","0","0","1","3","16","0","1","4","0","paragraph"
"ISON"" reported a zero score for all days from January 2004 through September 2012, the month that","0","0","0","1","3","17","0","1","5","1","paragraph"
"Comet ISON was discovered, but numerous search queries thereafter. This zero score, however, was","0","0","0","1","3","14","0","1","3","1","paragraph"
"normalized to the peak score set to 100 for 2013 March. The raw numbers of searches for March 2013","0","0","0","1","3","19","0","1","5","1","paragraph"
"were not revealed by Google Trends. Therefore, to our understanding, the zero score really meant ""less","0","0","0","1","3","16","0","2","3","1","paragraph"
"than 0.5 percent of the March 2013 value"", which could well be greater than zero. Quite possibly, a single","0","0","0","1","3","19","0","1","2","1","paragraph"
"prescient search for Comet ISON would not have been recorded. Similarly Google Trends searches for","0","0","0","1","3","15","0","2","3","0","paragraph"
"the term ""Pope Francis"" gave a zero score for all times before 2013 March, and numerous searches","0","0","0","1","3","17","0","1","6","1","paragraph"
"thereafter, but was also not considered reliable. Neither Bing nor Yahoo! currently provide a public","0","0","0","1","3","15","0","2","3","0","paragraph"
"feature that allows a search over past queries.","0","0","0","1","0","8","0","1","3","0","paragraph"
"A search that was sensitive to a single potentially prescient query was in the log files for the primary","0","0","0","1","3","19","0","0","4","0","paragraph"
"internal search engine affiliated with the Astronomy Picture of the Day (APOD) web site (apod.nasa.gov),","0","0","0","1","3","15","0","1","5","0","paragraph"
"as housed at the USA's National Air and Space Administration (NASA) [26]. One of the authors (RJN) is","0","0","0","1","3","18","0","1","3","2","paragraph"
"an APOD site editor and is able to access daily log files which include queries sent to APOD's internal","0","0","0","1","3","19","0","3","4","0","paragraph"
"search engine. The inspected files did not contain personal information, and no attempts were made to","0","0","0","1","3","16","0","3","4","0","paragraph"
"connect any search information to any specific people.","0","0","0","1","0","8","0","1","2","0","paragraph"
"The NASA APOD web page is served with Apache software running under the Linux operating","0","0","0","1","3","15","0","2","3","0","paragraph"
"system. The search page used the URL apod.nasa.gov/cgi-bin/apod/apod_search. This page returned a","0","0","0","1","3","12","0","2","4","0","paragraph"
"search form that utilized the open source and free search software titled Simple Web Indexing System for","0","0","0","1","3","17","0","2","3","0","paragraph"
"Humans - Enhanced (Swish-e) [27]. For many years, including the time between 2006 January and 2009","0","0","0","1","3","16","0","2","4","1","paragraph"
"March, the NASA APOD search page HTML code used the ""isindex"" element to record and send back","0","0","0","1","3","17","0","3","2","0","paragraph"
"search terms to the web server at NASA's Goddard Space Flight Center. This HTML code returned the","0","0","0","1","3","17","0","1","4","0","paragraph"
"search page URL appended with a suffix of a question mark followed by the search term to an indexed","0","0","0","1","3","19","0","2","4","0","paragraph"
"database previously catalogued by Swish-e. The returned query line was then indexed in a log file. For","0","0","0","1","3","17","0","3","4","0","paragraph"
"example, a search for ""M31"", without quotes, would result in the log file writing a line with the text","0","0","0","1","3","19","0","3","6","0","paragraph"
"""?M31"" in it, without quotes.","0","0","0","1","3","5","0","0","2","0","paragraph"
"The NASA APOD log files were queried for potentially prescient search terms from the beginning of","0","0","0","1","3","16","0","1","3","0","paragraph"
"2006 January through the end of 2009 March. Specifically, given that the Linux environment where the","0","0","0","1","3","16","0","1","3","0","paragraph"
"search was done was case sensitive, a search for either ""?ISON"", ""?Ison"", or ""?ison"" was conducted in the","0","0","0","1","3","18","0","2","5","0","paragraph"
"daily log files, quotes excluded. To make sure our search procedure was working, a concurrent search for","0","0","0","1","3","17","0","3","2","0","paragraph"
"the non-prescient term ""?M31"" was also conducted. M31 is the Messier catalog number for the","0","0","0","1","3","15","0","1","4","0","paragraph"
"Andromeda galaxy, a commonly used designation for a well-known astronomical object. The search for","0","0","0","1","3","14","0","2","4","0","paragraph"
"the ""?M31"" term uncovered many instances, typically several for each day searched, whereas only a","0","0","0","1","3","15","0","2","3","0","paragraph"
"handful of instances of any of the terms ""?ISON"", ""?Ison"", or ""?ison"" were ever found in the log files","0","0","0","1","3","19","0","1","7","0","paragraph"
"during this time period. Upon further investigation, each of these instances was related to extraneous","0","0","0","1","3","15","0","1","3","0","paragraph"
"information or misspellings, leaving no queries as possibly prescient.","0","0","0","1","0","9","0","1","3","0","paragraph"
"Starting in 2009 April, the way the NASA APOD search engine worked was changed so that queries","0","0","0","1","3","17","0","4","3","0","paragraph"
"submitted through the main APOD search page no longer typically recorded search results with a ""?""","0","0","0","1","3","16","0","2","2","0","paragraph"
"prefix. Therefore, at that time, our search for prescient terms after this date could be incomplete, and","0","0","0","1","3","17","0","1","5","0","paragraph"
"potentially prescient searches missed.","0","0","0","1","0","4","0","1","1","0","paragraph"
"5. Requests for Time Travelers to Issue a Prescient Internet Communication","1","0","0","1","2","11","0","1","3","1","heading"
