"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"Presentation Title: Using GIS Site Suitability Analysis to Study Adaptability and Evolution of","0","0","0","0","2","13","0","2","4","0","paragraph"
"Life: Locating Springs in Mantle Units of Ophiolites","0","0","0","1","2","8","0","0","4","0","paragraph"
"Research focus: BioGeoChemistry and Computer modelling","0","0","0","0","3","6","0","0","3","0","paragraph"
"School: University of Rhode Island","0","0","0","0","2","5","0","0","3","0","paragraph"
"Student Level: Masters","0","0","0","0","2","3","0","0","2","0","paragraph"
"Presentation Type: Poster Presentation","0","0","0","0","2","4","0","0","2","0","paragraph"
"Abstract:","1","0","0","1","2","1","0","0","1","0","heading"
"Using GIS Site Suitability Analysis to Study Adaptability and Evolution of Life: Locating","0","0","0","1","2","13","0","2","4","0","paragraph"
"Springs in Mantle Units of Ophiolites","0","0","0","1","2","6","0","0","3","0","paragraph"
"Alexandrea Bowman, University of Rhode Island","0","0","0","1","2","6","0","0","3","0","paragraph"
"GIS is a powerful tool that can be used to locate springs sourced in ophiolites. The unique","0","0","0","1","3","17","0","4","4","0","paragraph"
"features associated with these springs include a reducing subsurface environment reacting at low","0","0","0","1","0","13","0","4","3","0","paragraph"
"temperatures producing high pH, Ca-rich formation fluids with high dissolved hydrogen and","0","0","0","1","3","12","0","2","3","0","paragraph"
"methane. Because of their unique chemical characteristics, these areas are often associated with","0","0","0","1","3","13","0","1","3","0","paragraph"
"microbes and are thought to be similar to the features that enabled life to evolve on Earth.","0","0","0","1","3","17","0","3","4","0","paragraph"
"Locating and sampling these springs could offer a deeper look into Earth's deep biosphere and","0","0","0","1","3","15","0","4","2","0","paragraph"
"the history of life on Earth. Springs have tradiitionally been located using expensive and time","0","0","0","1","3","15","0","2","5","0","paragraph"
"consuming field techniques. Field work can be dangerous. The goal of this study was to develop","0","0","0","1","3","16","0","3","4","0","paragraph"
"a model that could locate these unique geological features without first going into the field, thus","0","0","0","1","0","16","0","3","3","0","paragraph"
"saving time, money and reducing the risks associated with remote field localities. A GIS site","0","0","0","1","3","15","0","3","5","0","paragraph"
"suitability analysis works by overlaying existing geo-referenced data into a computer program","0","0","0","1","0","12","0","4","3","0","paragraph"
"and adding the different data sets after assigning a numerical value to the important fields. For","0","0","0","1","3","16","0","2","3","0","paragraph"
"this project, I used surface and ground water maps, geologic maps, a soil map, and a fault map","0","0","0","1","3","18","0","1","5","0","paragraph"
"for four counties in Northern California. The model has demonstrated that it is possible to use","0","0","0","1","3","16","0","2","4","1","paragraph"
"this time of model and apply it to a complex geologic area to produce a usable field map for","0","0","0","1","0","19","0","2","5","0","paragraph"
"future field work.","0","0","0","1","0","3","0","0","1","0","paragraph"
"UNDERGRADUATE LEVEL","1","0","0","1","1","2","0","0","1","0","heading"
"Researcher: Deneen Cole","0","0","0","0","2","3","0","0","2","0","paragraph"
"Presentation Title: Characterization of Iron Deposition in Recombinant Heteropolymer Ferritins","0","0","0","0","2","10","0","0","4","0","paragraph"
"Research Focus: Chemistry","0","0","0","0","2","3","0","0","2","0","paragraph"
"School: SUNY Potsdam","0","0","0","0","2","3","0","0","2","0","paragraph"
"Presentation Type: Poster Presentation","0","0","0","0","2","4","0","0","2","0","paragraph"
"Abstract:","1","0","0","1","2","1","0","0","1","0","heading"
"Characterization of Iron Deposition in Recombinant Heteropolymer Ferritins","0","0","0","1","2","8","0","0","3","0","paragraph"
"Deneen Cole, Dr. Fadi Bou-Abdallah, SUNY Potsdam (NY, USA), Dr. Paolo Arosio, University","0","0","0","1","2","13","0","0","7","0","paragraph"
"of Brescia (Italy), Dr. Sonia Levi, Vita-Salute San Raffaele University (Italy)","0","0","0","1","3","11","0","0","5","0","paragraph"
"Ferritin is a ubiquitous iron storage and detoxification protein found highly conserved in species","0","0","0","1","3","14","0","2","4","0","paragraph"
"from bacteria to plants to humans. In mammals, ferritin is composed of two functionallyand","0","0","0","1","3","14","0","1","6","1","paragraph"
"genetically distinct subunit types, H (heavy, ~21,000 Da) and L (light, ~19,000 Da) subunits","0","0","0","1","3","14","0","0","3","0","paragraph"
"which co-assemble in various ratios with tissue specific distribution to form a shell-like protein.","0","0","0","1","0","14","0","3","3","0","paragraph"
"The H-subunit is responsible for the fast conversion of Fe(II) to Fe(III) by dioxygen (or H2O2)","0","0","0","1","3","16","0","0","6","0","paragraph"
"whereas the L-subunit is thought to contribute to the nucleation of the iron core. In the present","0","0","0","1","3","17","0","2","4","0","paragraph"
"work, we investigated the iron oxidation and deposition mechanism in two recombinant","0","0","0","1","0","12","0","1","3","1","paragraph"
"heteropolymers ferritin samples of ~20H:4L (termed H/L) and ~22L:2H (termed L/H) ratios.","0","0","0","1","3","12","0","3","3","0","paragraph"
"Data indicates that iron oxidation occurs mainly on the H-subunit with a stoichiometry of","0","0","0","1","3","14","0","2","4","0","paragraph"
"2Fe(II):1O2, suggesting formation of H2O2. The H/L sample completely regenerates its","0","0","0","1","3","11","0","2","3","1","paragraph"
"ferroxidase activity within a short period of time suggesting rapid movement of Fe(III) from the","0","0","0","1","3","15","0","1","5","0","paragraph"
"ferroxidase center to the cavity to form the mineral core, consistent with the role of L-chain in","0","0","0","1","3","17","0","1","5","0","paragraph"
"facilitating iron turn-over at the ferroxidase center of the H-subunit. In L/H, Fe(II) oxidation and","0","0","0","1","3","15","0","1","3","0","paragraph"
"mineralization appears to occur by two simultaneous pathways at all levels of iron additions: a","0","0","0","1","0","15","0","2","4","1","paragraph"
"ferroxidation pathway with a 2Fe(II)/1O2 ratio and a mineralization pathway with a 4Fe(II)/1O2","0","0","0","1","3","13","0","0","3","0","paragraph"
"resulting in an average net stoichiometry of ~3Fe(II)/1O2.","0","0","0","1","3","8","0","1","2","0","paragraph"
"These results illustrate how recombinant heteropolymer ferritins control iron and oxygen toxicity","0","0","0","1","3","12","0","2","3","0","paragraph"
"while providing a safe reservoir for reversible uptake and release of iron for use by the cell.","0","0","0","1","0","17","0","1","6","0","paragraph"
"**********","1","0","0","1","3","1","0","0","0","0","paragraph"
"Researcher: Joaquin Ray Gallegos","0","0","0","0","2","4","0","0","2","0","paragraph"
"Presentation Title: An Assessment of Oral Health on the Pine Ridge Indian Reservation","0","0","0","0","2","13","0","0","4","0","paragraph"
"Research Focus: Oral Health","0","0","0","0","2","4","0","0","2","0","paragraph"
"School: University of Colorado Denver | Anschutz Medical Campus","0","0","0","0","2","9","0","0","5","0","paragraph"
"Presentation Type: Poster and Oral Presentations","0","0","0","0","2","6","0","0","2","0","paragraph"
"Abstract:","1","0","0","1","2","1","0","0","1","0","heading"
"An Assessment of Oral Health on the Pine Ridge Indian Reservation","0","0","0","1","2","11","0","0","3","0","paragraph"
"Joaquin R Gallegos, Terry Batliner, DDS, MBA, John T Brinton, MS, Dallas M Daniels, RDH,","0","0","0","1","2","15","0","0","8","0","paragraph"
"BS, Anne Wilson, DDS, MS, Maxine Janis, MPH, RDH, Kimberly E Lind, MPH, Deborah H","0","0","0","1","2","15","0","0","9","0","paragraph"
"Glueck, PhD, Judith Albino, PhD.","0","0","0","1","2","5","0","0","2","0","paragraph"
"Centers for American Indian and Alaska Native Health, University of Colorado, Colorado","0","0","0","1","2","12","0","0","6","0","paragraph"
"School of Public Health","0","0","0","1","2","4","0","0","2","0","paragraph"
"We assessed the oral health of the Pine Ridge Oglala Lakota people, described a new oral health","0","0","0","1","3","17","0","2","4","0","paragraph"
"assessment tool for Indigenous people, and suggested ways to improve Native oral health. The","0","0","0","1","3","14","0","2","4","0","paragraph"
"Check Up Study team of dentist and dental hygienists performed examinations of teeth and oral","0","0","0","1","3","15","0","2","4","0","paragraph"
"soft tissue for a convenience sample of 292 adults and children. Screening personnel counted the","0","0","0","1","3","15","0","1","5","1","paragraph"
"number of decayed, filled, sealed and total teeth, used probes to measure periodontal disease, and","0","0","0","1","0","15","0","4","4","0","paragraph"
"screened for oral lesions. Half of adults had 27 or fewer teeth. Sixteen percent of adults had at","0","0","0","1","3","18","0","1","6","2","paragraph"
"least one tooth with a pocket depth > 6mm. Participants had higher numbers of decayed teeth","0","0","0","1","3","16","0","1","6","0","paragraph"
"(p<0.0001), and lower numbers of filled teeth (p<0.0001) than those reflected in Indian Health","0","0","0","1","3","14","0","2","5","0","paragraph"
"Service cross-tribe aggregated data from 1999. Amongst Lakota people of Pine Ridge, our study","0","0","0","1","3","14","0","1","5","0","paragraph"
"documented a high prevalence of caries and periodontal disease, numerous people with missing","0","0","0","1","0","13","0","2","4","0","paragraph"
"teeth, and many unmet dental needs. Future studies of oral health related behaviors, and access to","0","0","0","1","3","16","0","1","5","0","paragraph"
"oral health care are needed to explain the dental, periodontal, and soft tissue problems that","0","0","0","1","0","15","0","2","2","0","paragraph"
"adversely affect the Oglala Lakota.","0","0","0","1","3","5","0","1","1","0","paragraph"
"**********","0","0","0","1","3","1","0","0","0","0","paragraph"
"HIGH SCHOOL","1","0","0","1","1","2","0","0","1","0","heading"
"Researcher: Wyatt Dunham","0","0","0","0","2","3","0","0","2","0","paragraph"
"Presentation Title: The Citrus Solution: Phase II","0","0","0","0","2","7","0","0","3","0","paragraph"
"Research Focus: Utilizing citrus pectin and citrus peels as filtrates for heavy metal pollutants","0","0","0","0","3","14","0","1","4","0","paragraph"
"found in a Superfund Site and the effects on Daphnia magna before and after filtration.","0","0","0","1","3","15","0","1","4","0","paragraph"
"School: Grove High School","0","0","0","0","2","4","0","0","2","0","paragraph"
"Presentation Type: Poster Presentation","0","0","0","0","2","4","0","0","2","0","paragraph"
"Abstract:","1","0","0","1","2","1","0","0","1","0","heading"
"The purpose of this experiment was to test the effectiveness of composite filters made from","0","0","0","1","3","15","0","2","4","0","paragraph"
"citrus peels and citrus pectin along with charcoal and sand on removing heavy metal pollutants","0","0","0","1","0","15","0","1","5","0","paragraph"
"from the waters of Tar Creek. A toxicity test was also done before and after filtration using","0","0","0","1","3","17","0","2","4","0","paragraph"
"Daphnia magna. Charcoal and sand were used as filtrates to decrease the TDS and neutralize the","0","0","0","0","3","16","0","3","5","0","paragraph"
"pH of the water after filtration.","0","0","0","1","3","6","0","0","3","0","paragraph"
"filtration.","0","0","0","1","0","1","0","0","1","0","paragraph"
"Daphnia magna were used as toxicity test before and after","0","0","0","0","3","10","0","1","2","0","paragraph"
"It was hypothesized that the composite filters (citrus + sand +charcoal) will decrease the heavy","0","0","0","1","3","15","0","3","5","0","paragraph"
"metal concentration, neutralize the pH, and decrease the TDS after filtration. It was also","0","0","0","1","3","14","0","2","5","0","paragraph"
"hypothesized that a higher percentage of Daphnia magna will survive in the filtered water as","0","0","0","0","3","15","0","3","3","0","paragraph"
"compared to the unfiltered water.","0","0","0","1","0","5","0","1","1","0","paragraph"
"Water samples were collected from four different sites at Tar Creek. Each water sample went","0","0","0","1","3","15","0","2","4","1","paragraph"
"through four different citrus filters plus one control (sand + charcoal). All the citrus filters","0","0","0","1","3","15","0","0","5","2","paragraph"
"decreased the heavy metal concentration after filtration. All of the filters neutralized the pH. The","0","0","0","1","3","15","0","2","4","0","paragraph"
"citrus peel filters for Site 4 were the only filters to have a pH of 7 after filtration. Only 25% of","0","0","0","1","3","21","0","0","6","1","paragraph"
"the citrus filters decreased the TDS after filtration, while 50% of the control filters decreased the","0","0","0","1","3","16","0","2","5","0","paragraph"
"TDS after filtration. A higher percentage of Daphnia magna survived after filtration. The orange","0","0","0","0","3","14","0","1","6","0","paragraph"
"peel had the overall highest survival of Daphnia after filtration. The correlation observed before","0","0","0","0","3","14","0","1","5","0","paragraph"
"and after filtration was cadmium was most toxic to Daphnia magna.","0","0","0","0","3","11","0","0","3","0","paragraph"
"**********","1","0","0","1","3","1","0","0","0","0","paragraph"
"Researcher: Oletha Hope Gould","0","0","0","0","2","4","0","0","2","0","paragraph"
"Presentation Title: Insect Repellant Potential of Juniper Berry (Di'zad' - Navajo name) Essential","0","0","0","0","3","13","0","1","6","0","paragraph"
"Oil","0","0","0","1","2","1","0","0","1","0","paragraph"
"Research Focus: Medicine and Health Science","0","0","0","0","2","6","0","0","3","0","paragraph"
"School: Newcomb High School","0","0","0","0","2","4","0","0","2","0","paragraph"
"Presentation Type: Poster Presentation","0","0","0","0","2","4","0","0","2","0","paragraph"
"Abstract:","1","0","0","1","2","1","0","0","1","0","heading"
"The Southwest shrub Juniperus communis (Juniper Berry) has many significant medicinal value","0","0","0","0","3","12","0","0","4","0","paragraph"
"in the Native American culture that has not been proven scientifically. One of the popular uses","0","0","0","1","3","16","0","1","2","1","paragraph"
"of Juniper berries aside from its detoxifying action is its potential to repel insects. This study","0","0","0","1","3","16","0","1","5","0","paragraph"
"focuses on the development of insect repellant from its essential oil obtained through steam","0","0","0","1","0","14","0","2","4","0","paragraph"
"distillation. 50 g of fresh berries was collected and dried for 5 days and is placed in a still","0","0","0","1","0","19","0","3","4","1","paragraph"
"tank with 100 mL of water for steam distillation using the Flinn Scientific Borosilicate Lab","0","0","0","1","3","15","0","1","5","1","paragraph"
"Kit. Gather the extracted oil and dilute 70% in three separate containers to be transferred into","0","0","0","1","3","16","0","3","5","1","paragraph"
"spray bottles. Testing involved the spraying of the dilute sample into a class jar with Anopheles","0","0","0","1","3","16","0","2","5","0","paragraph"
"juidthae (common NM mosquito) and compared this to the effect of a commercial insect","0","0","0","1","3","14","0","1","4","0","paragraph"
"repellant. After testing and comparing the result, the commercial insect repellant significantly","0","0","0","1","3","12","0","2","2","0","paragraph"
"showed that it is a better insect repellant compared to the J. communis diluted essential","0","0","0","0","3","15","0","3","3","0","paragraph"
"oil. However, the essential oil has also an insect repellant potential.","0","0","0","1","3","11","0","0","3","0","paragraph"
