"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"M y research findings indicate that Bering Sea fisheries occur where juvenile salmon mature,","False","False","True","False","paragraph"
"directly impacting Yukon River salmon populations. Further, the research reflects that although","False","False","True","False","paragraph"
"Yukon salmon populations have plummeted, a recent effort was made to open the northern","False","False","True","False","paragraph"
"Bering Sea, which includes the Yukon River coastal shelf, to deep-sea commercial fishing.","False","False","True","False","paragraph"
"B y researching the relationship of policy to cultural salmon dependence, it becomes evident that","False","False","True","False","paragraph"
"Alaskan salmon-tribes are excluded from salmon management and decision-making. Legal","False","False","True","False","paragraph"
"research reflects that three basic federal Indian concepts – inherent rights, Indian Country, and","False","False","True","False","paragraph"
"tribal right of occupancy – emerge as potential foundations that may allow Alaskan salmon-","False","False","True","False","paragraph"
"tribes to begin sharing legal responsibility over salmon.","False","False","True","False","paragraph"
"Y ukon River salmon are an international and anadromous species that require multi-","False","False","True","False","paragraph"
"organizational management. My research reflects that current management favors the Bering","False","False","True","False","paragraph"
"Sea commercial fishing industry, despite data indicating Bering Sea fisheries impact Yukon","False","False","True","False","paragraph"
"salmon populations and an overall downward trend in Yukon salmon populations.","False","False","True","False","paragraph"
"* *********","False","True","True","False","paragraph"
"Researcher: Alexandrea Bowman","False","False","False","True","paragraph"
"Presentation Title: Using GIS Site Suitability Analysis to Study Adaptability and Evolution of","False","False","False","True","paragraph"
"Life: Locating Springs in Mantle Units of Ophiolites","False","False","True","True","paragraph"
"Research focus: BioGeoChemistry and Computer modelling","False","False","False","False","paragraph"
"School: University of Rhode Island","False","False","False","True","paragraph"
"Student Level: Masters","False","False","False","True","paragraph"
"Presentation Type: Poster Presentation","False","False","False","True","paragraph"
"Abstract:","False","True","True","True","heading"
"Using GIS Site Suitability Analysis to Study Adaptability and Evolution of Life: Locating","False","False","True","True","paragraph"
"Springs in Mantle Units of Ophiolites","False","False","True","True","paragraph"
"Alexandrea Bowman, University of Rhode Island","False","False","True","True","paragraph"
"GIS is a powerful tool that can be used to locate springs sourced in ophiolites. The unique","False","False","True","False","paragraph"
"features associated with these springs include a reducing subsurface environment reacting at low","False","False","True","False","paragraph"
"temperatures producing high pH, Ca-rich formation fluids with high dissolved hydrogen and","False","False","True","False","paragraph"
"methane. Because of their unique chemical characteristics, these areas are often associated with","False","False","True","False","paragraph"
"microbes and are thought to be similar to the features that enabled life to evolve on Earth.","False","False","True","False","paragraph"
"Locating and sampling these springs could offer a deeper look into Earth's deep biosphere and","False","False","True","False","paragraph"
"the history of life on Earth. Springs have tradiitionally been located using expensive and time","False","False","True","False","paragraph"
"consuming field techniques. Field work can be dangerous. The goal of this study was to develop","False","False","True","False","paragraph"
"a model that could locate these unique geological features without first going into the field, thus","False","False","True","False","paragraph"
"saving time, money and reducing the risks associated with remote field localities. A GIS site","False","False","True","False","paragraph"
"suitability analysis works by overlaying existing geo-referenced data into a computer program","False","False","True","False","paragraph"
"and adding the different data sets after assigning a numerical value to the important fields. For","False","False","True","False","paragraph"
"this project, I used surface and ground water maps, geologic maps, a soil map, and a fault map","False","False","True","False","paragraph"
"for four counties in Northern California. The model has demonstrated that it is possible to use","False","False","True","False","paragraph"
"this time of model and apply it to a complex geologic area to produce a usable field map for","False","False","True","False","paragraph"
"future field work.","False","False","True","False","paragraph"
"UNDERGRADUATE LEVEL","False","True","True","True","heading"
"R esearcher: Deneen Cole","False","False","False","False","paragraph"
"Presentation Title: Characterization of Iron Deposition in Recombinant Heteropolymer Ferritins","False","False","False","True","paragraph"
"Research Focus: Chemistry","False","False","False","True","paragraph"
"School: SUNY Potsdam","False","False","False","True","paragraph"
"Presentation Type: Poster Presentation","False","False","False","True","paragraph"
"Abstract:","False","True","True","True","heading"
"Characterization of Iron Deposition in Recombinant Heteropolymer Ferritins","False","False","True","True","paragraph"
"Deneen Cole, Dr. Fadi Bou-Abdallah, SUNY Potsdam (NY, USA), Dr. Paolo Arosio, University","False","False","True","True","paragraph"
"of Brescia (Italy), Dr. Sonia Levi, Vita-Salute San Raffaele University (Italy)","False","False","True","False","paragraph"
"Ferritin is a ubiquitous iron storage and detoxification protein found highly conserved in species","False","False","True","False","paragraph"
"from bacteria to plants to humans. In mammals, ferritin is composed of two functionallyand","False","False","True","False","paragraph"
"genetically distinct subunit types, H (heavy, ~21,000 Da) and L (light, ~19,000 Da) subunits","False","False","True","False","paragraph"
"which co-assemble in various ratios with tissue specific distribution to form a shell-like protein.","False","False","True","False","paragraph"
"The H-subunit is responsible for the fast conversion of Fe(II) to Fe(III) by dioxygen (or H2O2)","False","False","True","False","paragraph"
"whereas the L-subunit is thought to contribute to the nucleation of the iron core. In the present","False","False","True","False","paragraph"
"work, we investigated the iron oxidation and deposition mechanism in two recombinant","False","False","True","False","paragraph"
"heteropolymers ferritin samples of ~20H:4L (termed H/L) and ~22L:2H (termed L/H) ratios.","False","False","True","False","paragraph"
"Data indicates that iron oxidation occurs mainly on the H-subunit with a stoichiometry of","False","False","True","False","paragraph"
"2Fe(II):1O2, suggesting formation of H2O2. The H/L sample completely regenerates its","False","False","True","False","paragraph"
"ferroxidase activity within a short period of time suggesting rapid movement of Fe(III) from the","False","False","True","False","paragraph"
"ferroxidase center to the cavity to form the mineral core, consistent with the role of L-chain in","False","False","True","False","paragraph"
"facilitating iron turn-over at the ferroxidase center of the H-subunit. In L/H, Fe(II) oxidation and","False","False","True","False","paragraph"
"mineralization appears to occur by two simultaneous pathways at all levels of iron additions: a","False","False","True","False","paragraph"
"ferroxidation pathway with a 2Fe(II)/1O2 ratio and a mineralization pathway with a 4Fe(II)/1O2","False","False","True","False","paragraph"
"resulting in an average net stoichiometry of ~3Fe(II)/1O2.","False","False","True","False","paragraph"
"These results illustrate how recombinant heteropolymer ferritins control iron and oxygen toxicity","False","False","True","False","paragraph"
"while providing a safe reservoir for reversible uptake and release of iron for use by the cell.","False","False","True","False","paragraph"
"**********","False","True","True","False","paragraph"
"Researcher: Joaquin Ray Gallegos","False","False","False","True","paragraph"
"Presentation Title: An Assessment of Oral Health on the Pine Ridge Indian Reservation","False","False","False","True","paragraph"
"Research Focus: Oral Health","False","False","False","True","paragraph"
"School: University of Colorado Denver | Anschutz Medical Campus","False","False","False","True","paragraph"
"Presentation Type: Poster and Oral Presentations","False","False","False","True","paragraph"
"Abstract:","False","True","True","True","heading"
"An Assessment of Oral Health on the Pine Ridge Indian Reservation","False","False","True","True","paragraph"
"Joaquin R Gallegos, Terry Batliner, DDS, MBA, John T Brinton, MS, Dallas M Daniels, RDH,","False","False","True","True","paragraph"
"BS, Anne Wilson, DDS, MS, Maxine Janis, MPH, RDH, Kimberly E Lind, MPH, Deborah H","False","False","True","True","paragraph"
"Glueck, PhD, Judith Albino, PhD.","False","False","True","True","paragraph"
"Centers for American Indian and Alaska Native Health, University of Colorado, Colorado","False","False","True","True","paragraph"
"School of Public Health","False","False","True","True","paragraph"
"W e assessed the oral health of the Pine Ridge Oglala Lakota people, described a new oral health","False","False","True","False","paragraph"
"assessment tool for Indigenous people, and suggested ways to improve Native oral health. The","False","False","True","False","paragraph"
"Check Up Study team of dentist and dental hygienists performed examinations of teeth and oral","False","False","True","False","paragraph"
"soft tissue for a convenience sample of 292 adults and children. Screening personnel counted the","False","False","True","False","paragraph"
"number of decayed, filled, sealed and total teeth, used probes to measure periodontal disease, and","False","False","True","False","paragraph"
"screened for oral lesions. Half of adults had 27 or fewer teeth. Sixteen percent of adults had at","False","False","True","False","paragraph"
"least one tooth with a pocket depth > 6mm. Participants had higher numbers of decayed teeth","False","False","True","False","paragraph"
"(p<0.0001), and lower numbers of filled teeth (p<0.0001) than those reflected in Indian Health","False","False","True","False","paragraph"
"Service cross-tribe aggregated data from 1999. Amongst Lakota people of Pine Ridge, our study","False","False","True","False","paragraph"
"documented a high prevalence of caries and periodontal disease, numerous people with missing","False","False","True","False","paragraph"
"teeth, and many unmet dental needs. Future studies of oral health related behaviors, and access to","False","False","True","False","paragraph"
"oral health care are needed to explain the dental, periodontal, and soft tissue problems that","False","False","True","False","paragraph"
"adversely affect the Oglala Lakota.","False","False","True","False","paragraph"
"**********","False","False","True","False","paragraph"
"HIGH SCHOOL","False","True","True","True","heading"
"Researcher: Wyatt Dunham","False","False","False","True","paragraph"
"P resentation Title: The Citrus Solution: Phase II","False","False","False","False","paragraph"
"Research Focus: Utilizing citrus pectin and citrus peels as filtrates for heavy metal pollutants","False","False","False","False","paragraph"
"found in a Superfund Site and the effects on Daphnia magna before and after filtration.","False","False","True","False","paragraph"
"School: Grove High School","False","False","False","True","paragraph"
"Presentation Type: Poster Presentation","False","False","False","True","paragraph"
"Abstract:","False","True","True","True","heading"
"The purpose of this experiment was to test the effectiveness of composite filters made from","False","False","True","False","paragraph"
"citrus peels and citrus pectin along with charcoal and sand on removing heavy metal pollutants","False","False","True","False","paragraph"
"from the waters of Tar Creek. A toxicity test was also done before and after filtration using","False","False","True","False","paragraph"
"Daphnia magna. Charcoal and sand were used as filtrates to decrease the TDS and neutralize the","False","False","False","False","paragraph"
"pH of the water after filtration.","False","False","True","False","paragraph"
"filtration.","False","False","True","False","paragraph"
"Daphnia magna were used as toxicity test before and after","False","False","False","False","paragraph"
"It was hypothesized that the composite filters (citrus + sand +charcoal) will decrease the heavy","False","False","True","False","paragraph"
"metal concentration, neutralize the pH, and decrease the TDS after filtration. It was also","False","False","True","False","paragraph"
"hypothesized that a higher percentage of Daphnia magna will survive in the filtered water as","False","False","False","False","paragraph"
"compared to the unfiltered water.","False","False","True","False","paragraph"
"Water samples were collected from four different sites at Tar Creek. Each water sample went","False","False","True","False","paragraph"
"through four different citrus filters plus one control (sand + charcoal). All the citrus filters","False","False","True","False","paragraph"
"decreased the heavy metal concentration after filtration. All of the filters neutralized the pH. The","False","False","True","False","paragraph"
"citrus peel filters for Site 4 were the only filters to have a pH of 7 after filtration. Only 25% of","False","False","True","False","paragraph"
"the citrus filters decreased the TDS after filtration, while 50% of the control filters decreased the","False","False","True","False","paragraph"
"TDS after filtration. A higher percentage of Daphnia magna survived after filtration. The orange","False","False","False","False","paragraph"
"peel had the overall highest survival of Daphnia after filtration. The correlation observed before","False","False","False","False","paragraph"
"and after filtration was cadmium was most toxic to Daphnia magna.","False","False","False","False","paragraph"
"**********","False","True","True","False","paragraph"
"Researcher: Oletha Hope Gould","False","False","False","True","paragraph"
"Presentation Title: Insect Repellant Potential of Juniper Berry (Di'zad' - Navajo name) Essential","False","False","False","False","paragraph"
"Oil","False","False","True","True","paragraph"
"Research Focus: Medicine and Health Science","False","False","False","True","paragraph"
"School: Newcomb High School","False","False","False","True","paragraph"
"Presentation Type: Poster Presentation","False","False","False","True","paragraph"
"Abstract:","False","True","True","True","heading"
"The Southwest shrub Juniperus communis (Juniper Berry) has many significant medicinal value","False","False","False","False","paragraph"
"in the Native American culture that has not been proven scientifically. One of the popular uses","False","False","True","False","paragraph"
"of Juniper berries aside from its detoxifying action is its potential to repel insects. This study","False","False","True","False","paragraph"
"focuses on the development of insect repellant from its essential oil obtained through steam","False","False","True","False","paragraph"
"distillation. 50 g of fresh berries was collected and dried for 5 days and is placed in a still","False","False","True","False","paragraph"
"tank with 100 mL of water for steam distillation using the Flinn Scientific Borosilicate Lab","False","False","True","False","paragraph"
"Kit. Gather the extracted oil and dilute 70% in three separate containers to be transferred into","False","False","True","False","paragraph"
"spray bottles. Testing involved the spraying of the dilute sample into a class jar with Anopheles","False","False","True","False","paragraph"
"juidthae (common NM mosquito) and compared this to the effect of a commercial insect","False","False","True","False","paragraph"
"repellant. After testing and comparing the result, the commercial insect repellant significantly","False","False","True","False","paragraph"
"showed that it is a better insect repellant compared to the J. communis diluted essential","False","False","False","False","paragraph"
"oil. However, the essential oil has also an insect repellant potential.","False","False","True","False","paragraph"
